icd_decimal,icd_short,overlap_ufhealth,request_idr
E10.62,E1062,0,yes
E10.63,E1063,0,yes
E10.64,E1064,0,yes
E11,E11,0,yes
E11.0,E110,0,yes
E11.1,E111,0,yes
E11.11,E1111,0,yes
E11.2,E112,0,yes
E11.3,E113,0,yes
E11.31,E1131,0,yes
E11.32,E1132,0,yes
E11.321,E11321,0,yes
E11.3219,E113219,0,yes
E11.3291,E113291,0,yes
E11.33,E1133,0,yes
E11.331,E11331,0,yes
E11.3311,E113311,0,yes
E11.3319,E113319,0,yes
E11.34,E1134,0,yes
E11.341,E11341,0,yes
E11.3412,E113412,0,yes
E11.349,E11349,0,yes
E11.3499,E113499,0,yes
E11.35,E1135,0,yes
E11.352,E11352,0,yes
E11.3529,E113529,0,yes
E11.353,E11353,0,yes
E11.3533,E113533,0,yes
E11.3539,E113539,0,yes
E11.354,E11354,0,yes
E11.3541,E113541,0,yes
E11.3543,E113543,0,yes
E11.3549,E113549,0,yes
E11.355,E11355,0,yes
E11.3551,E113551,0,yes
E11.3552,E113552,0,yes
E11.3559,E113559,0,yes
E11.37,E1137,0,yes
E11.37X1,E1137X1,0,yes
E11.37X2,E1137X2,0,yes
E11.37X3,E1137X3,0,yes
E11.37X9,E1137X9,0,yes
E11.4,E114,0,yes
E11.41,E1141,0,yes
E11.5,E115,0,yes
E11.6,E116,0,yes
E11.61,E1161,0,yes
E11.618,E11618,0,yes
E11.62,E1162,0,yes
E11.63,E1163,0,yes
E11.630,E11630,0,yes
E13,E13,0,yes
E13.0,E130,0,yes
E13.01,E1301,0,yes
E13.1,E131,0,yes
E13.11,E1311,0,yes
E13.2,E132,0,yes
E13.21,E1321,0,yes
E13.3,E133,0,yes
E13.31,E1331,0,yes
E13.32,E1332,0,yes
E13.321,E13321,0,yes
E13.3211,E133211,0,yes
E13.3212,E133212,0,yes
E13.3213,E133213,0,yes
E13.3219,E133219,0,yes
E13.329,E13329,0,yes
E13.3291,E133291,0,yes
E13.3292,E133292,0,yes
E13.3293,E133293,0,yes
E13.3299,E133299,0,yes
E13.33,E1333,0,yes
E13.331,E13331,0,yes
E13.3311,E133311,0,yes
E13.3312,E133312,0,yes
E13.3313,E133313,0,yes
E13.3319,E133319,0,yes
E13.339,E13339,0,yes
E13.3391,E133391,0,yes
E13.3392,E133392,0,yes
E13.3393,E133393,0,yes
E13.3399,E133399,0,yes
E13.34,E1334,0,yes
E13.341,E13341,0,yes
E13.3411,E133411,0,yes
E13.3412,E133412,0,yes
E13.3413,E133413,0,yes
E13.3419,E133419,0,yes
E13.349,E13349,0,yes
E13.3491,E133491,0,yes
E13.3492,E133492,0,yes
E13.3493,E133493,0,yes
E13.3499,E133499,0,yes
E13.35,E1335,0,yes
E13.351,E13351,0,yes
E13.3511,E133511,0,yes
E13.3512,E133512,0,yes
E13.3513,E133513,0,yes
E13.3519,E133519,0,yes
E13.352,E13352,0,yes
E13.3521,E133521,0,yes
E13.3522,E133522,0,yes
E13.3523,E133523,0,yes
E13.3529,E133529,0,yes
E13.353,E13353,0,yes
